dataset,size_bytes
ACUSIM/Pres_Poisson,2500863
AG-Monien/3elt,40630
AG-Monien/3elt_dual,47680
AG-Monien/3elt_dual,47680
AG-Monien/airfoil1,37415
AG-Monien/airfoil1_dual,43585
AG-Monien/airfoil1_dual,43585
AG-Monien/bfly,280901
AG-Monien/big_dual,137499
AG-Monien/biplane-9,115770
AG-Monien/brack2,687024
AG-Monien/cage,19373
AG-Monien/cca,220385
AG-Monien/ccc,229396
AG-Monien/crack,75894
AG-Monien/crack_dual,97627
AG-Monien/crack_dual,97627
AG-Monien/debr,4818730
AG-Monien/diag,21293
AG-Monien/grid1,12365
AG-Monien/grid1_dual,12302
AG-Monien/grid1_dual,12302
AG-Monien/grid2,25651
AG-Monien/grid2_dual,26419
AG-Monien/grid2_dual,26419
AG-Monien/L-9,97565
AG-Monien/L,15548
AG-Monien/L-9,97565
AG-Monien/netz4504,18268
AG-Monien/netz4504_dual,14135
AG-Monien/netz4504_dual,14135
AG-Monien/se,158537
AG-Monien/shock-9,187555
AG-Monien/stufe-10,121119
AG-Monien/stufe,15590
AG-Monien/stufe-10,121119
AG-Monien/ukerbe1,34953
AG-Monien/ukerbe1_dual,19554
AG-Monien/ukerbe1_dual,19554
AG-Monien/wave,1962520
AG-Monien/whitaker3,77547
AG-Monien/whitaker3_dual,93798
AG-Monien/whitaker3_dual,93798
Alemdar/Alemdar,66817
AMD/G2_circuit,1035461
AMD/G3_circuit,11042162
Andrews/Andrews,1042750
Andrianov/ex3sta1,298142
Andrianov/fxm3_6,52564
Andrianov/fxm4_6,201313
Andrianov/ins2,2665816
Andrianov/lp1,2307001
Andrianov/lpl1,328364
Andrianov/mip1,1672445
Andrianov/net100,244434
Andrianov/net125,775429
Andrianov/net150,940947
Andrianov/net25,79235
Andrianov/net4-1,1718058
Andrianov/net50,133478
Andrianov/net75,201485
Andrianov/pattern1,1096357
Andrianov/pf2177,505930
ANSYS/Delor295K,9515264
ANSYS/Delor338K,30404111
ANSYS/Delor64K,2751524
Arenas/celegans_metabolic,13523
Arenas/email,19238
Arenas/jazz,11806
Arenas/PGPgiantcompo,61954
ATandT/onetone1,877109
ATandT/onetone2,609967
ATandT/pre2,28563166
ATandT/twotone,3848792
Averous/epb0,72430
Averous/epb1,705404
Averous/epb2,1160001
Averous/epb3,1002771
Bai/af23560,2746487
Bai/bfwa398,16965
Bai/bfwa62,10510
Bai/bfwa782,26572
Bai/bfwb398,12981
Bai/bfwb62,9760
Bai/bfwb782,18345
Bai/bwm2000,20340
Bai/bwm200,10362
Bai/bwm2000,20340
Bai/cdde1,16452
Bai/cdde2,16452
Bai/cdde3,16490
Bai/cdde4,16489
Bai/cdde5,16451
Bai/cdde6,16443
Bai/ck104,17035
Bai/ck400,30767
Bai/ck656,36801
Bai/cryg10000,473827
Bai/cryg2500,122656
Bai/dw1024,39460
Bai/dw2048,39460
Bai/dw256A,15291
Bai/dw256B,15699
Bai/dw4096,103821
Bai/dw8192,103821
Bai/dwa512,15291
Bai/dwb512,15699
Bai/dwg961a,21893
Bai/dwg961b,48088
Bai/lop163,10891
Bai/mhd1280a,386736
Bai/mhd1280b,84406
Bai/mhd3200a,430003
Bai/mhd3200b,78664
Bai/mhd4800a,642570
Bai/mhd4800b,114441
Bai/mhda416,61679
Bai/mhdb416,17896
Bai/odepa400,11068
Bai/odepb400,11527
Bai/olm1000,14482
Bai/olm100,9554
Bai/olm1000,14482
Bai/olm2000,20023
Bai/olm5000,37128
Bai/olm500,11772
Bai/olm5000,37128
Bai/pde225,17082
Bai/pde2961,121602
Bai/pde900,42758
Bai/qc2534,288791
Bai/qc324,27177
Bai/qh1484,31169
Bai/qh768,20270
Bai/qh882,21675
Bai/rbsa480,22832
Bai/rbsb480,22643
Bai/rdb1250,20371
Bai/rdb1250l,20367
Bai/rdb1250l,20367
Bai/rdb200,10859
Bai/rdb200l,10859
Bai/rdb200l,10859
Bai/rdb2048,28573
Bai/rdb2048_noL,28296
Bai/rdb2048_noL,28296
Bai/rdb3200l,38802
Bai/rdb450,13016
Bai/rdb450l,13030
Bai/rdb450l,13030
Bai/rdb5000,56701
Bai/rdb800l,16081
Bai/rdb968,17799
Bai/rw136,10324
Bai/rw496,13699
Bai/rw5151,55713
Bai/tols1090,28874
Bai/tols2000,35068
Bai/tols340,23811
Bai/tols4000,48731
Bai/tols90,22012
Bai/tub1000,27432
Bai/tub100,11132
Bai/tub1000,27432
Barabasi/NotreDame_actors,4003753
Barabasi/NotreDame_www,1391040
Barabasi/NotreDame_yeast,15212
Bates/Chem97Zt,128850
Bates/Chem97ZtZ,26816
Bates/Chem97ZtZ,26816
Bates/sls,10355113
Belcastro/human_gene1,104068948
Belcastro/human_gene2,76667985
Belcastro/mouse_gene,65953280
BenElechi/BenElechi1,54567405
Bindel/ted_AB,1962332
Bindel/ted_AB_unscaled,1848589
Bindel/ted_A,1368147
Bindel/ted_A_unscaled,1269186
Bindel/ted_AB,1962332
Bindel/ted_AB_unscaled,1848589
Bindel/ted_AB_unscaled,1848589
Bindel/ted_A_unscaled,1269186
Bindel/ted_B,198635
Bindel/ted_B_unscaled,200191
Bindel/ted_B_unscaled,200191
Bodendiek/CurlCurl_0,154207
Bodendiek/CurlCurl_1,2896234
Bodendiek/CurlCurl_2,10357357
Bodendiek/CurlCurl_3,16249124
Bodendiek/CurlCurl_4,30299505
Boeing/bcsstk34,29839
Boeing/bcsstk35,5689642
Boeing/bcsstk36,4419058
Boeing/bcsstk37,4415042
Boeing/bcsstk38,1125374
Boeing/bcsstk39,4026250
Boeing/bcsstm34,84468
Boeing/bcsstm35,137306
Boeing/bcsstm36,1123963
Boeing/bcsstm37,108119
Boeing/bcsstm38,56911
Boeing/bcsstm39,211825
Boeing/crystk01,1151371
Boeing/crystk02,3724921
Boeing/crystk03,6828266
Boeing/crystm01,135198
Boeing/crystm02,397136
Boeing/crystm03,707511
Boeing/ct20stif,9597692
Boeing/msc00726,35256
Boeing/msc01050,42361
Boeing/msc01440,81077
Boeing/msc04515,121269
Boeing/msc10848,4970380
Boeing/msc23052,4762937
Boeing/nasa1824,102115
Boeing/nasa2910,49837
Boeing/nasa4704,55266
Boeing/pcrystk02,176049
Boeing/pcrystk03,315843
Boeing/pct20stif,560190
Boeing/pwtk,45557592
Bomhof/circuit_1,129966
Bomhof/circuit_2,105212
Bomhof/circuit_3,302070
Bomhof/circuit_4,747034
Botonakis/FEM_3D_thermal1,2354361
Botonakis/FEM_3D_thermal2,20341370
Botonakis/thermomech_dK,25204486
Botonakis/thermomech_dM,5712685
Botonakis/thermomech_TC,4332620
Botonakis/thermomech_TK,4342063
Bourchtein/atmosmodd,17877398
Bourchtein/atmosmodj,17877176
Bourchtein/atmosmodl,21129485
Bourchtein/atmosmodm,20518140
Bova/rma10,12912654
Brethour/coater1,65127
Brethour/coater2,1600351
Brogan/specular,59928737
Brunetiere/thermal,566729
Buss/12month1,38309517
Buss/connectus,1725735
Bydder/mri1,5429524
Bydder/mri2,4984898
Cannizzo/sts4098,184998
Castrillon/denormal,1088754
CEMW/t2em,9169743
CEMW/tmt_sym,16492432
CEMW/tmt_unsym,35974857
CEMW/vfem,12882800
Chen/pkustk01,204815
Chen/pkustk02,108774
Chen/pkustk03,569658
Chen/pkustk04,714958
Chen/pkustk05,378530
Chen/pkustk06,432650
Chen/pkustk07,317014
Chen/pkustk08,434590
Chen/pkustk09,307417
Chen/pkustk10,897034
Chen/pkustk11,1119448
Chen/pkustk12,1667325
Chen/pkustk13,1664377
Chen/pkustk14,2666141
Chevron/Chevron1,612658
Chevron/Chevron2,2144055
Chevron/Chevron3,11553866
Chevron/Chevron4,22152793
Clark/tomographic1,2047894
Cote/mplate,310207
Cote/vibrobox,597308
CPM/cz10228,544530
CPM/cz1268,70416
CPM/cz148,18349
CPM/cz20468,1093279
CPM/cz2548,139184
CPM/cz308,25115
CPM/cz40948,2239544
CPM/cz5108,272842
CPM/cz628,38179
Cunningham/k3plates,2429337
Cunningham/m3plates,53088
Cunningham/qa8fk,1335040
Cunningham/qa8fm,1410207
Cylshell/s1rmq4m1,556291
Cylshell/s1rmt3m1,481458
Cylshell/s2rmq4m1,568772
Cylshell/s2rmt3m1,491035
Cylshell/s3rmq4m1,576450
Cylshell/s3rmt3m1,504951
