dataset,size_bytes
ACUSIM/Pres_Poisson,4616076
AG-Monien/3elt,66393
AG-Monien/3elt_dual,64625
AG-Monien/3elt_dual,64625
AG-Monien/airfoil1,60669
AG-Monien/airfoil1_dual,58773
AG-Monien/airfoil1_dual,58773
AG-Monien/bfly,406073
AG-Monien/big_dual,191229
AG-Monien/biplane-9,179649
AG-Monien/brack2,1477749
AG-Monien/cage,25993
AG-Monien/cca,291409
AG-Monien/ccc,307785
AG-Monien/crack,133025
AG-Monien/crack_dual,131693
AG-Monien/crack_dual,131693
AG-Monien/debr,16790737
AG-Monien/diag,27857
AG-Monien/grid1,12449
AG-Monien/grid1_dual,12353
AG-Monien/grid1_dual,12353
AG-Monien/grid2,37233
AG-Monien/grid2_dual,35961
AG-Monien/grid2_dual,35961
AG-Monien/L-9,153873
AG-Monien/L,18761
AG-Monien/L-9,153873
AG-Monien/netz4504,21825
AG-Monien/netz4504_dual,16205
AG-Monien/netz4504_dual,16205
AG-Monien/se,209697
AG-Monien/shock-9,296657
AG-Monien/stufe-10,197153
AG-Monien/stufe,18961
AG-Monien/stufe-10,197153
AG-Monien/ukerbe1,42921
AG-Monien/ukerbe1_dual,25673
AG-Monien/ukerbe1_dual,25673
AG-Monien/wave,10497273
AG-Monien/whitaker3,127469
AG-Monien/whitaker3_dual,125853
AG-Monien/whitaker3_dual,125853
Alemdar/Alemdar,131137
AMD/G2_circuit,8398888
AMD/G3_circuit,75507752
Andrews/Andrews,2059481
Andrianov/ex3sta1,1400649
Andrianov/fxm3_6,207193
Andrianov/fxm4_6,1042561
Andrianov/ins2,12593193
Andrianov/lp1,10496041
Andrianov/lpl1,730073
Andrianov/mip1,41953321
Andrianov/net100,4204585
Andrianov/net125,6301737
Andrianov/net150,8398889
Andrianov/net25,830521
Andrianov/net4-1,10496041
Andrianov/net50,1932129
Andrianov/net75,4204585
Andrianov/pattern1,18884649
Andrianov/pf2177,1478833
ANSYS/Delor295K,40904744
ANSYS/Delor338K,70264872
ANSYS/Delor64K,11544616
Arenas/celegans_metabolic,19912
Arenas/email,31573
Arenas/jazz,17778
Arenas/PGPgiantcompo,131380
ATandT/onetone1,4519176
ATandT/onetone2,3016760
ATandT/pre2,96479272
ATandT/twotone,20981800
Averous/epb0,102216
Averous/epb1,1149684
Averous/epb2,2806308
Averous/epb3,8398888
Bai/af23560,6140408
Bai/bfwa398,53216
Bai/bfwa62,13572
Bai/bfwa782,99248
Bai/bfwb398,28960
Bai/bfwb62,11124
Bai/bfwb782,49696
Bai/bwm2000,105040
Bai/bwm200,17040
Bai/bwm2000,105040
Bai/cdde1,46664
Bai/cdde2,46664
Bai/cdde3,46664
Bai/cdde4,46664
Bai/cdde5,46664
Bai/cdde6,46656
Bai/ck104,18952
Bai/ck400,43360
Bai/ck656,55648
Bai/cryg10000,605436
Bai/cryg2500,157228
Bai/dw1024,130408
Bai/dw2048,130408
Bai/dw256A,38800
Bai/dw256B,39040
Bai/dw4096,509992
Bai/dw8192,509992
Bai/dwa512,38800
Bai/dwb512,39040
Bai/dwg961a,50204
Bai/dwg961b,124624
Bai/lop163,18398
Bai/mhd1280a,967232
Bai/mhd1280b,249724
Bai/mhd3200a,825416
Bai/mhd3200b,138232
Bai/mhd4800a,1236128
Bai/mhd4800b,203056
Bai/mhda416,111848
Bai/mhdb416,25512
Bai/odepa400,23460
Bai/odepb400,13868
Bai/olm1000,57000
Bai/olm100,13000
Bai/olm1000,57000
Bai/olm2000,105000
Bai/olm5000,249000
Bai/olm500,32992
Bai/olm5000,249000
Bai/pde225,19682
Bai/pde2961,184068
Bai/pde900,61600
Bai/qc2534,5135188
Bai/qc324,279628
Bai/qh1484,82352
Bai/qh768,44240
Bai/qh882,49280
Bai/rbsa480,94488
Bai/rbsb480,94488
Bai/rdb1250,96664
Bai/rdb1250l,96664
Bai/rdb1250l,96664
Bai/rdb200,20256
Bai/rdb200l,20256
