dataset,size_bytes
ACUSIM/Pres_Poisson,2531056
AG-Monien/3elt,103611
AG-Monien/3elt_dual,165903
AG-Monien/3elt_dual,165903
AG-Monien/airfoil1,94638
AG-Monien/airfoil1_dual,148464
AG-Monien/airfoil1_dual,148464
AG-Monien/bfly,942196
AG-Monien/big_dual,506379
AG-Monien/biplane-9,134364
AG-Monien/brack2,1402288
AG-Monien/cage,532180
AG-Monien/cca,804116
AG-Monien/ccc,832288
AG-Monien/crack,105447
AG-Monien/crack_dual,161286
AG-Monien/crack_dual,161286
AG-Monien/debr,13136341
AG-Monien/diag,30813
AG-Monien/grid1,17382
AG-Monien/grid1_dual,17551
AG-Monien/grid1_dual,17551
AG-Monien/grid2,44101
AG-Monien/grid2_dual,45528
AG-Monien/grid2_dual,45528
AG-Monien/L-9,111492
AG-Monien/L,20987
AG-Monien/L-9,111492
AG-Monien/netz4504,28035
AG-Monien/netz4504_dual,21192
AG-Monien/netz4504_dual,21192
AG-Monien/se,590616
AG-Monien/shock-9,217614
AG-Monien/stufe-10,146512
AG-Monien/stufe,21998
AG-Monien/stufe-10,146512
AG-Monien/ukerbe1,71080
AG-Monien/ukerbe1_dual,37333
AG-Monien/ukerbe1_dual,37333
AG-Monien/wave,1944225
AG-Monien/whitaker3,156171
AG-Monien/whitaker3_dual,309498
AG-Monien/whitaker3_dual,309498
Alemdar/Alemdar,61548
AMD/G2_circuit,861670
AMD/G3_circuit,9352379
Andrews/Andrews,1166853
Andrianov/ex3sta1,265649
Andrianov/fxm3_6,43750
Andrianov/fxm4_6,159806
Andrianov/ins2,2403505
Andrianov/lp1,1987494
Andrianov/lpl1,322680
Andrianov/mip1,637942
Andrianov/net100,219745
Andrianov/net125,740396
Andrianov/net150,887236
Andrianov/net25,74373
Andrianov/net4-1,997796
Andrianov/net50,122023
Andrianov/net75,176862
Andrianov/pattern1,426262
Andrianov/pf2177,477395
ANSYS/Delor295K,8760012
ANSYS/Delor338K,29615363
ANSYS/Delor64K,2546196
Arenas/celegans_metabolic,791190
Arenas/email,18486
Arenas/jazz,62260
Arenas/PGPgiantcompo,109012
ATandT/onetone1,746061
ATandT/onetone2,503724
ATandT/pre2,25389759
ATandT/twotone,3110983
Averous/epb0,70386
Averous/epb1,689456
Averous/epb2,1128872
Averous/epb3,695480
Bai/af23560,2683641
Bai/bfwa398,15145
Bai/bfwa62,10465
Bai/bfwa782,22631
Bai/bfwb398,12218
Bai/bfwb62,9628
Bai/bfwb782,16423
Bai/bwm2000,18918
Bai/bwm200,10156
Bai/bwm2000,18918
Bai/cdde1,15897
Bai/cdde2,15900
Bai/cdde3,15895
Bai/cdde4,15898
Bai/cdde5,15896
Bai/cdde6,15891
Bai/ck104,17085
Bai/ck400,30204
Bai/ck656,35904
Bai/cryg10000,467084
Bai/cryg2500,121303
Bai/dw1024,37150
Bai/dw2048,37150
Bai/dw256A,13779
Bai/dw256B,14688
Bai/dw4096,93541
Bai/dw8192,93541
Bai/dwa512,13787
Bai/dwb512,14696
Bai/dwg961a,20578
Bai/dwg961b,44835
Bai/lop163,10785
Bai/mhd1280a,371814
Bai/mhd1280b,80283
Bai/mhd3200a,420617
Bai/mhd3200b,74296
Bai/mhd4800a,628254
Bai/mhd4800b,107825
Bai/mhda416,60582
Bai/mhdb416,17433
Bai/odepa400,10439
Bai/odepb400,11289
Bai/olm1000,12960
Bai/olm100,9519
Bai/olm1000,12960
Bai/olm2000,16973
Bai/olm5000,29564
