dataset,size_bytes
ACUSIM/Pres_Poisson,2436224
AG-Monien/3elt,39269
AG-Monien/3elt_dual,48495
AG-Monien/3elt_dual,48495
AG-Monien/airfoil1,36261
AG-Monien/airfoil1_dual,44431
AG-Monien/airfoil1_dual,44431
AG-Monien/bfly,274078
AG-Monien/big_dual,139521
AG-Monien/biplane-9,123475
AG-Monien/brack2,635493
AG-Monien/cage,19308
AG-Monien/cca,224089
AG-Monien/ccc,233358
AG-Monien/crack,72973
AG-Monien/crack_dual,96914
AG-Monien/crack_dual,96914
AG-Monien/debr,4275770
AG-Monien/diag,21531
AG-Monien/grid1,12203
AG-Monien/grid1_dual,12129
AG-Monien/grid1_dual,12129
AG-Monien/grid2,25424
AG-Monien/grid2_dual,25643
AG-Monien/grid2_dual,25643
AG-Monien/L-9,104690
AG-Monien/L,15291
AG-Monien/L-9,104690
AG-Monien/netz4504,18308
AG-Monien/netz4504_dual,14093
AG-Monien/netz4504_dual,14093
AG-Monien/se,163300
AG-Monien/shock-9,200800
AG-Monien/stufe-10,129700
AG-Monien/stufe,15442
AG-Monien/stufe-10,129700
AG-Monien/ukerbe1,35124
AG-Monien/ukerbe1_dual,19744
AG-Monien/ukerbe1_dual,19744
AG-Monien/wave,1685973
AG-Monien/whitaker3,72935
AG-Monien/whitaker3_dual,94453
AG-Monien/whitaker3_dual,94453
Alemdar/Alemdar,61548
AMD/G2_circuit,861670
AMD/G3_circuit,9352379
Andrews/Andrews,1166853
Andrianov/ex3sta1,265649
Andrianov/fxm3_6,43750
Andrianov/fxm4_6,159806
Andrianov/ins2,2403505
Andrianov/lp1,1987494
Andrianov/lpl1,322680
Andrianov/mip1,637942
Andrianov/net100,219745
Andrianov/net125,740396
Andrianov/net150,887236
Andrianov/net25,74373
Andrianov/net4-1,997796
Andrianov/net50,122023
Andrianov/net75,176862
Andrianov/pattern1,426262
Andrianov/pf2177,477395
ANSYS/Delor295K,8760012
ANSYS/Delor338K,29615363
ANSYS/Delor64K,2546196
Arenas/celegans_metabolic,13153
Arenas/email,18486
Arenas/jazz,11978
Arenas/PGPgiantcompo,58714
ATandT/onetone1,746061
ATandT/onetone2,503724
ATandT/pre2,25389759
ATandT/twotone,3110983
Averous/epb0,70386
Averous/epb1,689456
Averous/epb2,1128872
Averous/epb3,695480
Bai/af23560,2683641
Bai/bfwa398,15145
Bai/bfwa62,10465
Bai/bfwa782,22631
Bai/bfwb398,12218
Bai/bfwb62,9628
Bai/bfwb782,16423
Bai/bwm2000,18918
Bai/bwm200,10156
Bai/bwm2000,18918
Bai/cdde1,15897
Bai/cdde2,15900
Bai/cdde3,15895
Bai/cdde4,15898
Bai/cdde5,15896
Bai/cdde6,15891
Bai/ck104,17085
Bai/ck400,30204
Bai/ck656,35904
Bai/cryg10000,467084
Bai/cryg2500,121303
Bai/dw1024,37150
Bai/dw2048,37150
Bai/dw256A,13779
Bai/dw256B,14688
Bai/dw4096,93541
Bai/dw8192,93541
Bai/dwa512,13787
Bai/dwb512,14696
Bai/dwg961a,20578
Bai/dwg961b,44835
Bai/lop163,10785
Bai/mhd1280a,371814
Bai/mhd1280b,80283
Bai/mhd3200a,420617
Bai/mhd3200b,74296
Bai/mhd4800a,628254
Bai/mhd4800b,107825
Bai/mhda416,60582
Bai/mhdb416,17433
Bai/odepa400,10439
Bai/odepb400,11289
Bai/olm1000,12960
Bai/olm100,9519
Bai/olm1000,12960
Bai/olm2000,16973
Bai/olm5000,29564
Bai/olm500,11012
Bai/olm5000,29564
Bai/pde225,16994
Bai/pde2961,118771
Bai/pde900,42006
Bai/qc2534,170150
Bai/qc324,23973
Bai/qh1484,28315
Bai/qh768,18980
Bai/qh882,20273
Bai/rbsa480,20741
Bai/rbsb480,20656
Bai/rdb1250,19157
Bai/rdb1250l,19162
Bai/rdb1250l,19162
Bai/rdb200,10625
Bai/rdb200l,10624
Bai/rdb200l,10624
Bai/rdb2048,26801
Bai/rdb2048_noL,26475
Bai/rdb2048_noL,26475
Bai/rdb3200l,36117
Bai/rdb450,12555
Bai/rdb450l,12557
Bai/rdb450l,12557
Bai/rdb5000,52833
Bai/rdb800l,15376
Bai/rdb968,16842
Bai/rw136,10207
Bai/rw496,12950
Bai/rw5151,49000
Bai/tols1090,28765
Bai/tols2000,35114
Bai/tols340,23723
Bai/tols4000,49270
Bai/tols90,22065
Bai/tub1000,26675
Bai/tub100,11128
Bai/tub1000,26675
Barabasi/NotreDame_actors,3682348
Barabasi/NotreDame_www,1166254
Barabasi/NotreDame_yeast,15121
Bates/Chem97Zt,126461
Bates/Chem97ZtZ,24545
Bates/Chem97ZtZ,24545
Bates/sls,7409303
Belcastro/human_gene1,104622052
Belcastro/human_gene2,76616309
Belcastro/mouse_gene,66349577
BenElechi/BenElechi1,53511858
Bindel/ted_AB,1704567
Bindel/ted_AB_unscaled,1550610
Bindel/ted_A,1223058
Bindel/ted_A_unscaled,1101278
Bindel/ted_AB,1704567
Bindel/ted_AB_unscaled,1550610
Bindel/ted_AB_unscaled,1550610
Bindel/ted_A_unscaled,1101278
Bindel/ted_B,162896
Bindel/ted_B_unscaled,165185
Bindel/ted_B_unscaled,165185
Bodendiek/CurlCurl_0,124695
Bodendiek/CurlCurl_1,2249600
Bodendiek/CurlCurl_2,8158079
Bodendiek/CurlCurl_3,12671369
Bodendiek/CurlCurl_4,23959573
Boeing/bcsstk34,23109
Boeing/bcsstk35,5607782
Boeing/bcsstk36,4354122
Boeing/bcsstk37,4336217
Boeing/bcsstk38,1076636
Boeing/bcsstk39,3354906
Boeing/bcsstm34,82017
Boeing/bcsstm35,132087
Boeing/bcsstm36,1075526
Boeing/bcsstm37,103571
Boeing/bcsstm38,54917
Boeing/bcsstm39,186810
Boeing/crystk01,1126333
Boeing/crystk02,3681085
Boeing/crystk03,6741359
Boeing/crystm01,118187
Boeing/crystm02,338216
Boeing/crystm03,608519
Boeing/ct20stif,9363821
Boeing/msc00726,25084
Boeing/msc01050,34856
Boeing/msc01440,71073
Boeing/msc04515,97402
Boeing/msc10848,4937444
Boeing/msc23052,4699189
Boeing/nasa1824,94742
Boeing/nasa2910,37414
Boeing/nasa4704,42944
Boeing/pcrystk02,116636
Boeing/pcrystk03,203544
Boeing/pct20stif,396159
Boeing/pwtk,44730911
Bomhof/circuit_1,117383
Bomhof/circuit_2,101649
Bomhof/circuit_3,289635
Bomhof/circuit_4,600000
Botonakis/FEM_3D_thermal1,2270974
Botonakis/FEM_3D_thermal2,17855849
Botonakis/thermomech_dK,24854264
Botonakis/thermomech_dM,5390585
Botonakis/thermomech_TC,4150839
Botonakis/thermomech_TK,4175493
Bourchtein/atmosmodd,15515766
Bourchtein/atmosmodj,15515506
Bourchtein/atmosmodl,18332233
Bourchtein/atmosmodm,18184667
Bova/rma10,12647931
Brethour/coater1,52828
Brethour/coater2,1561835
Brogan/specular,58307401
Brunetiere/thermal,556908
Buss/12month1,38645750
Buss/connectus,1714547
Bydder/mri1,5269475
Bydder/mri2,4769524
Cannizzo/sts4098,172664
Castrillon/denormal,764008
CEMW/t2em,8156478
CEMW/tmt_sym,13833923
CEMW/tmt_unsym,33615799
