dataset,size_bytes
ACUSIM/Pres_Poisson,5311276
AG-Monien/3elt,48391
AG-Monien/3elt_dual,56079
AG-Monien/3elt_dual,56079
AG-Monien/airfoil1,44599
AG-Monien/airfoil1_dual,51225
AG-Monien/airfoil1_dual,51225
AG-Monien/bfly,307779
AG-Monien/big_dual,161919
AG-Monien/biplane-9,138985
AG-Monien/brack2,869895
AG-Monien/cage,21603
AG-Monien/cca,250451
AG-Monien/ccc,258635
AG-Monien/crack,92755
AG-Monien/crack_dual,111891
AG-Monien/crack_dual,111891
AG-Monien/debr,13645009
AG-Monien/diag,24793
AG-Monien/grid1,12234
AG-Monien/grid1_dual,12158
AG-Monien/grid1_dual,12158
AG-Monien/grid2,30971
AG-Monien/grid2_dual,30019
AG-Monien/grid2_dual,30019
AG-Monien/L-9,118649
AG-Monien/L,17035
AG-Monien/L-9,118649
AG-Monien/netz4504,20593
AG-Monien/netz4504_dual,15095
AG-Monien/netz4504_dual,15095
AG-Monien/se,176943
AG-Monien/shock-9,227031
AG-Monien/stufe-10,152347
AG-Monien/stufe,17299
AG-Monien/stufe-10,152347
AG-Monien/ukerbe1,39181
AG-Monien/ukerbe1_dual,22331
AG-Monien/ukerbe1_dual,22331
AG-Monien/wave,5879665
AG-Monien/whitaker3,89101
AG-Monien/whitaker3_dual,107073
AG-Monien/whitaker3_dual,107073
Alemdar/Alemdar,94803
AMD/G2_circuit,6900956
AMD/G3_circuit,63973416
Andrews/Andrews,2756329
Andrianov/ex3sta1,738443
Andrianov/fxm3_6,118195
Andrianov/fxm4_6,563619
Andrianov/ins2,8398889
Andrianov/lp1,8398889
Andrianov/lpl1,434507
Andrianov/mip1,21246465
Andrianov/net100,2166091
Andrianov/net125,3228267
Andrianov/net150,4290443
Andrianov/net25,438851
Andrianov/net4-1,5605353
Andrianov/net50,1003251
Andrianov/net75,2152483
Andrianov/pattern1,9484767
Andrianov/pf2177,763419
ANSYS/Delor295K,32516136
ANSYS/Delor338K,54536232
ANSYS/Delor64K,8656848
Arenas/celegans_metabolic,16740
Arenas/email,22947
Arenas/jazz,18184
Arenas/PGPgiantcompo,104110
ATandT/onetone1,5396216
ATandT/onetone2,3161000
ATandT/pre2,75507752
ATandT/twotone,16220748
Averous/epb0,90278
Averous/epb1,1208624
Averous/epb2,2907232
Averous/epb3,6638984
Bai/af23560,6394788
Bai/bfwa398,46658
Bai/bfwa62,13706
Bai/bfwa782,85786
Bai/bfwb398,26450
Bai/bfwb62,10993
Bai/bfwb782,44498
Bai/bwm2000,93050
Bai/bwm200,17450
Bai/bwm2000,93050
Bai/cdde1,39226
Bai/cdde2,39226
Bai/cdde3,39226
Bai/cdde4,39226
Bai/cdde5,39226
Bai/cdde6,39218
Bai/ck104,19170
Bai/ck400,38442
Bai/ck656,49194
Bai/cryg10000,526040
Bai/cryg2500,137540
Bai/dw1024,114286
Bai/dw2048,114286
Bai/dw256A,34866
Bai/dw256B,35066
Bai/dw4096,442894
Bai/dw8192,442894
Bai/dwa512,34874
Bai/dwb512,35074
Bai/dwg961a,48018
Bai/dwg961b,114996
Bai/lop163,18734
Bai/mhd1280a,873990
Bai/mhd1280b,228236
Bai/mhd3200a,838228
Bai/mhd3200b,123126
Bai/mhd4800a,1255340
Bai/mhd4800b,180346
Bai/mhda416,95566
Bai/mhdb416,23618
Bai/odepa400,21860
Bai/odepb400,13872
Bai/olm1000,51010
Bai/olm100,13202
Bai/olm1000,51010
Bai/olm2000,93010
Bai/olm5000,219010
Bai/olm500,30010
Bai/olm5000,219010
Bai/pde225,20142
Bai/pde2961,160822
Bai/pde900,54642
Bai/qc2534,5145336
Bai/qc324,253232
Bai/qh1484,73110
Bai/qh768,39910
Bai/qh882,44346
Bai/rbsa480,61282
Bai/rbsb480,61282
Bai/rdb1250,84566
Bai/rdb1250l,84574
Bai/rdb1250l,84574
Bai/rdb200,20666
Bai/rdb200l,20666
Bai/rdb200l,20666
Bai/rdb2048,134210
Bai/rdb2048_noL,133874
Bai/rdb2048_noL,133874
Bai/rdb3200l,204274
Bai/rdb450,35766
Bai/rdb450l,35766
Bai/rdb450l,35766
Bai/rdb5000,315066
Bai/rdb800l,57066
Bai/rdb968,67322
Bai/rw136,14136
Bai/rw496,28656
Bai/rw5151,221374
Bai/tols1090,46690
Bai/tols2000,64890
Bai/tols340,31682
Bai/tols4000,104890
Bai/tols90,26682
Bai/tub1000,51026
Bai/tub100,13218
Bai/tub1000,51026
Barabasi/NotreDame_actors,8398889
Barabasi/NotreDame_www,6301737
Barabasi/NotreDame_yeast,18033
Bates/Chem97Zt,138221
Bates/Chem97ZtZ,63674
Bates/Chem97ZtZ,63674
Bates/sls,89143296
Belcastro/human_gene1,150049056
Belcastro/human_gene2,109122812
Belcastro/mouse_gene,117630200
BenElechi/BenElechi1,82781524
Bindel/ted_AB,10537264
Bindel/ted_AB_unscaled,10537280
Bindel/ted_A,6342936
Bindel/ted_A_unscaled,6342952
Bindel/ted_AB,10537264
Bindel/ted_AB_unscaled,10537280
Bindel/ted_AB_unscaled,10537280
Bindel/ted_A_unscaled,6342952
Bindel/ted_B,982616
Bindel/ted_B_unscaled,982632
Bindel/ted_B_unscaled,982632
Bodendiek/CurlCurl_0,658394
Bodendiek/CurlCurl_1,18745696
Bodendiek/CurlCurl_2,63977232
Bodendiek/CurlCurl_3,95434520
Bodendiek/CurlCurl_4,185616248
Boeing/bcsstk34,120264
