dataset,size_bytes
ACUSIM/Pres_Poisson,11745149
AG-Monien/3elt,133748
AG-Monien/3elt_dual,132489
AG-Monien/3elt_dual,132489
AG-Monien/airfoil1,119527
AG-Monien/airfoil1_dual,117906
AG-Monien/airfoil1_dual,117906
AG-Monien/bfly,1139573
AG-Monien/big_dual,509183
AG-Monien/biplane-9,464564
AG-Monien/brack2,4298103
AG-Monien/cage,26215
AG-Monien/cca,808486
AG-Monien/ccc,855776
AG-Monien/crack,299630
AG-Monien/crack_dual,330548
AG-Monien/crack_dual,330548
AG-Monien/debr,29114988
AG-Monien/diag,40360
AG-Monien/grid1,6414
AG-Monien/grid1_dual,5964
AG-Monien/grid1_dual,5964
AG-Monien/grid2,63121
AG-Monien/grid2_dual,59936
AG-Monien/grid2_dual,59936
AG-Monien/L-9,386298
AG-Monien/L,17144
AG-Monien/L-9,386298
AG-Monien/netz4504,25865
AG-Monien/netz4504_dual,11970
AG-Monien/netz4504_dual,11970
AG-Monien/se,561078
AG-Monien/shock-9,815342
AG-Monien/stufe-10,516991
AG-Monien/stufe,17676
AG-Monien/stufe-10,516991
AG-Monien/ukerbe1,78443
AG-Monien/ukerbe1_dual,34238
AG-Monien/ukerbe1_dual,34238
AG-Monien/wave,13325752
AG-Monien/whitaker3,287299
AG-Monien/whitaker3_dual,313547
AG-Monien/whitaker3_dual,313547
Alemdar/Alemdar,285107
AMD/G2_circuit,10635916
AMD/G3_circuit,113083778
Andrews/Andrews,5979345
Andrianov/ex3sta1,3602859
Andrianov/fxm3_6,468477
Andrianov/fxm4_6,2807245
Andrianov/ins2,20693557
Andrianov/lp1,13583951
Andrianov/lpl1,2063941
Andrianov/mip1,61567003
Andrianov/net100,11142998
Andrianov/net125,14218075
Andrianov/net150,17293155
Andrianov/net25,2020744
Andrianov/net4-1,14597834
Andrianov/net50,4996551
Andrianov/net75,8069126
Andrianov/pattern1,52088081
Andrianov/pf2177,3511847
ANSYS/Delor295K,78181294
ANSYS/Delor338K,134805813
ANSYS/Delor64K,20664721
Arenas/celegans_metabolic,20975
Arenas/email,43061
Arenas/jazz,25768
Arenas/PGPgiantcompo,288636
ATandT/onetone1,7236344
ATandT/onetone2,4651444
ATandT/pre2,140964430
ATandT/twotone,26081182
Averous/epb0,232346
Averous/epb1,3051011
