dataset,size_bytes
ACUSIM/Pres_Poisson,11504209
AG-Monien/3elt,211780
AG-Monien/3elt_dual,282412
AG-Monien/airfoil1,189678
AG-Monien/airfoil1_dual,250578
AG-Monien/bfly,4341281
AG-Monien/big_dual,1018768
AG-Monien/biplane-9,768412
AG-Monien/brack2,5652597
AG-Monien/cage,129814
AG-Monien/cca,3426291
AG-Monien/ccc,3562481
AG-Monien/crack,452771
AG-Monien/crack_dual,651588
AG-Monien/debr,85515355
AG-Monien/diag,76236
AG-Monien/grid1,9692
AG-Monien/grid1_dual,9932
AG-Monien/grid2,105567
AG-Monien/grid2_dual,107842
AG-Monien/L,32275
AG-Monien/L-9,638089
AG-Monien/netz4504,46911
AG-Monien/netz4504_dual,20235
AG-Monien/se,1615688
AG-Monien/shock-9,1323949
AG-Monien/stufe,34518
AG-Monien/stufe-10,847617
AG-Monien/ukerbe1,189339
AG-Monien/ukerbe1_dual,71704
AG-Monien/wave,16450135
AG-Monien/whitaker3,425577
AG-Monien/whitaker3_dual,625778
Alemdar/Alemdar,285128
AMD/G2_circuit,9953536
AMD/G3_circuit,106086756
Andrews/Andrews,5979366
Andrianov/ex3sta1,3602880
Andrianov/fxm3_6,468497
Andrianov/fxm4_6,2807265
Andrianov/ins2,20693575
Andrianov/lp1,13583968
Andrianov/lpl1,2063959
Andrianov/mip1,61567021
Andrianov/net100,11143018
Andrianov/net125,14218095
Andrianov/net150,17293175
Andrianov/net25,2020763
Andrianov/net4-1,14597854
Andrianov/net50,4996570
Andrianov/net75,8069145
Andrianov/pattern1,52088103
Andrianov/pf2177,3511867
ANSYS/Delor295K,72714567
ANSYS/Delor338K,126987077
ANSYS/Delor64K,19296686
Arenas/celegans_metabolic,797029
Arenas/email,43071
Arenas/jazz,151434
Arenas/PGPgiantcompo,414335
ATandT/onetone1,6853551
ATandT/onetone2,4460393
ATandT/pre2,134992887
ATandT/twotone,24685206
Averous/epb0,217842
Averous/epb1,2885089
Averous/epb2,5335004
Averous/epb3,14616844
Bai/af23560,10802427
Bai/bfwa398,59860
Bai/bfwa62,7536
Bai/bfwa782,135233
Bai/bfwb398,27428
Bai/bfwb62,3791
Bai/bfwb782,70148
Bai/bwm200,17860
Bai/bwm2000,189668
Bai/cdde1,78506
Bai/cdde2,77578
Bai/cdde3,75625
Bai/cdde4,74695
Bai/cdde5,78508
Bai/cdde6,77570
Bai/ck104,25460
Bai/ck400,58274
Bai/ck656,102594
Bai/cryg10000,1404267
Bai/cryg2500,342131
Bai/dw1024,261503
Bai/dw2048,261504
Bai/dw256A,60907
Bai/dw256B,62499
Bai/dw4096,1109446
Bai/dw8192,1109447
Bai/dwa512,60908
Bai/dwb512,62500
Bai/dwg961a,46115
Bai/dwg961b,137054
Bai/lop163,20005
Bai/mhd1280a,1565991
Bai/mhd1280b,365392
Bai/mhd3200a,1792787
Bai/mhd3200b,282483
Bai/mhd4800a,2722368
Bai/mhd4800b,429411
Bai/mhda416,172625
Bai/mhdb416,27242
Bai/odepa400,12358
Bai/odepb400,7112
Bai/olm100,6598
Bai/olm1000,69156
Bai/olm2000,146653
Bai/olm500,33898
Bai/olm5000,379154
Bai/pde225,23883
Bai/pde2961,306390
Bai/pde900,99851
Bai/qc2534,12028404
Bai/qc324,671259
Bai/qh1484,97933
Bai/qh768,42972
Bai/qh882,52017
Bai/rbsa480,184055
Bai/rbsb480,185559
Bai/rdb1250,109315
Bai/rdb1250l,103893
Bai/rdb200,14984
Bai/rdb200l,14067
Bai/rdb2048,180964
Bai/rdb2048_noL,188568
Bai/rdb3200l,296099
Bai/rdb450,35534
Bai/rdb450l,34862
Bai/rdb5000,481025
Bai/rdb800l,63989
Bai/rdb968,77797
Bai/rw136,7725
Bai/rw496,30754
Bai/rw5151,284013
Bai/tols1090,56445
Bai/tols2000,82543
Bai/tols340,35713
Bai/tols4000,141048
Bai/tols90,28699
Bai/tub100,6018
Bai/tub1000,76986
Barabasi/NotreDame_actors,18357000
Barabasi/NotreDame_www,12353267
Barabasi/NotreDame_yeast,20869
Bates/Chem97Zt,645764
Bates/Chem97ZtZ,83563
Bates/sls,179919847
Belcastro/human_gene1,374714175
Belcastro/human_gene2,183576313
Belcastro/mouse_gene,447387623
