dataset,size_bytes
ACUSIM/Pres_Poisson,11224164
AG-Monien/3elt,133705
AG-Monien/3elt_dual,132446
AG-Monien/airfoil1,119484
AG-Monien/airfoil1_dual,117863
AG-Monien/bfly,1139514
AG-Monien/big_dual,509140
AG-Monien/biplane-9,464521
AG-Monien/brack2,4298060
AG-Monien/cage,26121
AG-Monien/cca,808427
AG-Monien/ccc,855717
AG-Monien/crack,299587
AG-Monien/crack_dual,330505
AG-Monien/debr,29114921
AG-Monien/diag,40317
AG-Monien/grid1,6371
AG-Monien/grid1_dual,5921
AG-Monien/grid2,63078
AG-Monien/grid2_dual,59893
AG-Monien/L,17101
AG-Monien/L-9,386255
AG-Monien/netz4504,25822
AG-Monien/netz4504_dual,11927
AG-Monien/se,561016
AG-Monien/shock-9,815299
AG-Monien/stufe,17633
AG-Monien/stufe-10,516948
AG-Monien/ukerbe1,78400
AG-Monien/ukerbe1_dual,34195
AG-Monien/wave,13325709
AG-Monien/whitaker3,287256
AG-Monien/whitaker3_dual,313504
Alemdar/Alemdar,285095
AMD/G2_circuit,9953500
AMD/G3_circuit,106086720
Andrews/Andrews,5979333
Andrianov/ex3sta1,3602847
Andrianov/fxm3_6,468465
Andrianov/fxm4_6,2807233
Andrianov/ins2,20693545
Andrianov/lp1,13583939
Andrianov/lpl1,2063929
Andrianov/mip1,61566991
Andrianov/net100,11142986
Andrianov/net125,14218063
Andrianov/net150,17293143
Andrianov/net25,2020732
Andrianov/net4-1,14597822
Andrianov/net50,4996539
Andrianov/net75,8069114
Andrianov/pattern1,52088069
Andrianov/pf2177,3511835
ANSYS/Delor295K,72714532
ANSYS/Delor338K,126987042
ANSYS/Delor64K,19296652
Arenas/celegans_metabolic,20953
Arenas/email,43040
Arenas/jazz,25748
Arenas/PGPgiantcompo,288613
ATandT/onetone1,6853517
ATandT/onetone2,4460359
ATandT/pre2,134992857
ATandT/twotone,24685173
Averous/epb0,217812
Averous/epb1,2885059
Averous/epb2,5334974
Averous/epb3,14616814
Bai/af23560,10802394
Bai/bfwa398,59827
Bai/bfwa62,7504
Bai/bfwa782,135200
Bai/bfwb398,27395
Bai/bfwb62,3759
Bai/bfwb782,70115
Bai/bwm200,17828
Bai/bwm2000,189635
Bai/cdde1,78475
Bai/cdde2,77547
Bai/cdde3,75594
Bai/cdde4,74664
Bai/cdde5,78477
Bai/cdde6,77539
Bai/ck104,25429
Bai/ck400,58243
Bai/ck656,102563
Bai/cryg10000,1404232
Bai/cryg2500,342097
Bai/dw1024,261471
Bai/dw2048,261472
Bai/dw256A,60875
Bai/dw256B,62467
Bai/dw4096,1109414
Bai/dw8192,1109415
Bai/dwa512,60876
Bai/dwb512,62468
Bai/dwg961a,46082
Bai/dwg961b,137021
Bai/lop163,19973
Bai/mhd1280a,1565957
Bai/mhd1280b,365358
Bai/mhd3200a,1792753
Bai/mhd3200b,282449
Bai/mhd4800a,2722334
Bai/mhd4800b,429377
Bai/mhda416,172592
Bai/mhdb416,27209
Bai/odepa400,12324
Bai/odepb400,7078
Bai/olm100,6566
Bai/olm1000,69123
Bai/olm2000,146620
Bai/olm500,33866
Bai/olm5000,379121
Bai/pde225,23851
Bai/pde2961,306357
Bai/pde900,99819
Bai/qc2534,12028372
Bai/qc324,671228
Bai/qh1484,97901
Bai/qh768,42941
Bai/qh882,51986
Bai/rbsa480,184022
Bai/rbsb480,185526
Bai/rdb1250,109282
Bai/rdb1250l,103859
Bai/rdb200,14952
Bai/rdb200l,14034
Bai/rdb2048,180931
Bai/rdb2048_noL,188531
Bai/rdb3200l,296065
Bai/rdb450,35502
Bai/rdb450l,34829
Bai/rdb5000,480992
Bai/rdb800l,63956
Bai/rdb968,77765
Bai/rw136,7694
Bai/rw496,30723
Bai/rw5151,283981
Bai/tols1090,56411
Bai/tols2000,82509
Bai/tols340,35680
Bai/tols4000,141014
Bai/tols90,28667
Bai/tub100,5986
Bai/tub1000,76953
Barabasi/NotreDame_actors,18356958
Barabasi/NotreDame_www,12353228
Barabasi/NotreDame_yeast,20828
Bates/Chem97Zt,645730
Bates/Chem97ZtZ,83528
Bates/sls,179919818
Belcastro/human_gene1,374714138
Belcastro/human_gene2,183576276
Belcastro/mouse_gene,447387587
BenElechi/BenElechi1,202833359
Bindel/ted_A,13138409
Bindel/ted_AB,18271448
Bindel/ted_AB_unscaled,17542717
Bindel/ted_A_unscaled,12528550
Bindel/ted_B,2395357
Bindel/ted_B_unscaled,2451198
Bodendiek/CurlCurl_0,1771618
Bodendiek/CurlCurl_1,42372876
Bodendiek/CurlCurl_2,156139759
Bodendiek/CurlCurl_3,240336788
Bodendiek/CurlCurl_4,483262748
Boeing/bcsstk34,227752
Boeing/bcsstk35,17574764
Boeing/bcsstk36,13696584
Boeing/bcsstk37,13889541
Boeing/bcsstk38,4065621
Boeing/bcsstk39,20923459
Boeing/bcsstm34,273336
Boeing/bcsstm35,478351
Boeing/bcsstm36,4401110
Boeing/bcsstm37,385292
Boeing/bcsstm38,187587
Boeing/bcsstm39,864007
Boeing/crystk01,4975271
Boeing/crystk02,15656776
Boeing/crystk03,28910126
Boeing/crystm01,1679451
Boeing/crystm02,5275002
Boeing/crystm03,9738435
Boeing/ct20stif,35196877
Boeing/msc00726,420319
Boeing/msc01050,352947
Boeing/msc01440,575375
Boeing/msc04515,1254854
Boeing/msc10848,15785850
Boeing/msc23052,15586342
Boeing/nasa1824,525980
Boeing/nasa2910,830997
Boeing/nasa4704,524185
Boeing/pcrystk02,5122070
Boeing/pcrystk03,9872581
Boeing/pct20stif,15915695
Boeing/pwtk,162185434
Bomhof/circuit_1,1016539
Bomhof/circuit_2,497085
Bomhof/circuit_3,1207725
Bomhof/circuit_4,7361517
Botonakis/FEM_3D_thermal1,13509711
Botonakis/FEM_3D_thermal2,119519394
Botonakis/thermomech_dK,90801369
Botonakis/thermomech_dM,27996312
Botonakis/thermomech_TC,13237268
Botonakis/thermomech_TK,12677170
Bourchtein/atmosmodd,276781801
Bourchtein/atmosmodj,276781801
Bourchtein/atmosmodl,219158210
Bourchtein/atmosmodm,221980901
Bova/rma10,61434328
Brethour/coater1,431308
Brethour/coater2,5054541
Brogan/specular,237625936
Brunetiere/thermal,1963303
Buss/12month1,247346266
Buss/connectus,10971455
Bydder/mri1,18009280
Bydder/mri2,17326499
Cannizzo/sts4098,1076662
Castrillon/denormal,10526992
CEMW/t2em,76034632
CEMW/tmt_sym,96692227
CEMW/tmt_unsym,148745051
CEMW/vfem,37749417
Chen/pkustk01,5506444
Chen/pkustk02,4091484
Chen/pkustk03,18642904
Chen/pkustk04,24759647
Chen/pkustk05,12801870
Chen/pkustk06,15032970
Chen/pkustk07,13083331
Chen/pkustk08,17949756
Chen/pkustk09,9176173
Chen/pkustk10,25742458
Chen/pkustk11,31171014
Chen/pkustk12,44836166
Chen/pkustk13,39500329
Chen/pkustk14,92297920
Chevron/Chevron1,10911021
Chevron/Chevron2,27139673
Chevron/Chevron3,120787932
Chevron/Chevron4,226983958
Clark/tomographic1,19658818
Cote/mplate,3566209
Cote/vibrobox,4799934
CPM/cz10228,2957235
CPM/cz1268,352269
CPM/cz148,43763
CPM/cz20468,6095024
CPM/cz2548,719132
CPM/cz308,87232
CPM/cz40948,12350862
CPM/cz5108,1470434
CPM/cz628,173781
Cunningham/k3plates,10943858
Cunningham/m3plates,193237
Cunningham/qa8fk,28148884
Cunningham/qa8fm,28622346
Cylshell/s1rmq4m1,3828475
Cylshell/s1rmt3m1,3078876
Cylshell/s2rmq4m1,3893982
Cylshell/s2rmt3m1,3121144
Cylshell/s3rmq4m1,3990131
Cylshell/s3rmt3m1,3214041
Cylshell/s3rmt3m3,3056489
Dattorro/EternityII_A,10585772
Dattorro/EternityII_E,21494717
Dattorro/EternityII_Etilde,16146326
Davis/FX_March2010,3089550
Dehghani/light_in_tissue,22164639
DIMACS10/144,13393264
DIMACS10/333SP,171065574
DIMACS10/598a,8930932
DIMACS10/adaptive,213559431
DIMACS10/ak2010,1952502
DIMACS10/al2010,11660438
DIMACS10/ar2010,8471299
DIMACS10/AS365,175191406
DIMACS10/asia_osm,205074867
DIMACS10/auto,44768883
DIMACS10/az2010,11311278
DIMACS10/belgium_osm,22360923
DIMACS10/ca2010,33937204
DIMACS10/caidaRouterLevel,7309786
DIMACS10/channel-500x100x100-b050,663216275
DIMACS10/chesapeake,12606
DIMACS10/citationCiteseer,15061787
DIMACS10/co2010,9143372
DIMACS10/coAuthorsCiteseer,10076384
DIMACS10/coAuthorsDBLP,12359300
DIMACS10/coPapersCiteseer,206979896
DIMACS10/coPapersDBLP,200648163
DIMACS10/cs4,495967
DIMACS10/ct2010,2939089
DIMACS10/cti,526863
DIMACS10/data,149192
DIMACS10/de2010,979590
DIMACS10/delaunay_n10,33247
DIMACS10/delaunay_n11,63918
DIMACS10/delaunay_n12,125304
DIMACS10/delaunay_n13,248214
DIMACS10/delaunay_n14,532196
DIMACS10/delaunay_n15,1121901
DIMACS10/delaunay_n16,2301760
DIMACS10/delaunay_n17,4847316
DIMACS10/delaunay_n18,10351942
DIMACS10/delaunay_n19,21362767
DIMACS10/delaunay_n20,43672864
DIMACS10/delaunay_n21,94003292
DIMACS10/delaunay_n22,194668144
DIMACS10/delaunay_n23,395996356
DIMACS10/delaunay_n24,839313191
DIMACS10/europe_osm,949001304
DIMACS10/fe_4elt2,342005
DIMACS10/fe_body,1896583
DIMACS10/fe_ocean,5110942
DIMACS10/fe_rotor,7806087
DIMACS10/fe_sphere,535241
DIMACS10/fe_tooth,5346743
DIMACS10/fl2010,22563792
DIMACS10/ga2010,13571088
DIMACS10/germany_osm,198530725
DIMACS10/G_n_pin_pout,5905364
DIMACS10/great-britain_osm,128013164
DIMACS10/hi2010,1053339
DIMACS10/hugebubbles-00000,461146757
DIMACS10/hugebubbles-00010,491920186
DIMACS10/hugebubbles-00020,538907930
DIMACS10/hugetrace-00000,106744558
DIMACS10/hugetrace-00010,292160105
DIMACS10/hugetrace-00020,398660712
DIMACS10/hugetric-00000,136414716
DIMACS10/hugetric-00010,154852009
DIMACS10/hugetric-00020,167570713
DIMACS10/ia2010,9664096
DIMACS10/id2010,6729236
DIMACS10/il2010,20840649
DIMACS10/in2010,12141726
DIMACS10/italy_osm,109866123
DIMACS10/kron_g500-logn16,33622998
DIMACS10/kron_g500-logn17,73045141
DIMACS10/kron_g500-logn18,160536321
DIMACS10/kron_g500-logn19,339186071
DIMACS10/kron_g500-logn20,708863612
DIMACS10/kron_g500-logn21,1542215015
DIMACS10/ks2010,10667749
DIMACS10/ky2010,7293610
DIMACS10/la2010,9186721
DIMACS10/luxembourg_osm,1451376
DIMACS10/m14b,21793344
DIMACS10/M6,161207255
DIMACS10/ma2010,7088673
DIMACS10/md2010,6356341
